Title,Original Title,Year,Director,Letterboxd,Drive,Notes
Amor e Sorte,Amor e Sorte,2020,"Andrucha Waddington, Lázaro Ramos, C",https://boxd.it/vjsO,drive.google.com/drive/folders/1p7ZzXC9RESoLfkZp3aS1JBqtU9m8JZwg,
Amusement Park,Parque de Diversões,2024,Ricardo Alves Jr.,https://boxd.it/MxXq,drive.google.com/drive/folders/1KuEdg6N5OIu7qPyPVYtO762Nf2oS2PjN,
An Affair to Remember,An Affair to Remember,1957,Leo McCarey,https://boxd.it/20is,drive.google.com/drive/folders/1eChwO32VNdAK6Z8s-4pW6O77FxDkAZbQ,
An Invisible Victim: The Eliza Samudio Case,A Vítima Invisível: O Caso Eliza Samudio,2024,Juliana Antunes,https://boxd.it/Qbtc,drive.google.com/drive/folders/1n360a5QuqNT8evqz7Bbc9DqkrhWCLvIO,
Andrei Rublev,Andrey Rublyov,1966,Andrei Tarkovsky,https://boxd.it/29lg,drive.google.com/drive/folders/1Xb0KNKWe5rAVKGPuYfRl42ZpxWGIfi5Y,
Andrey Tarkovsky. A Cinema Prayer,Andrei Tarkovsky. A Cinema Prayer,2019,Andrey A. Tarkovsky,https://boxd.it/mRXS,drive.google.com/drive/folders/1WRDynpO6j9oMbPcZY_b3c8VCouCw9ixt,
Angst,Angst,1983,Gerald Kargl,https://boxd.it/1G46,drive.google.com/drive/u/5/folders/1kvkDhHJKXdL_mc03lNiar0bqrihDGL51,
Anhell69,Anhell69,2022,Theo Montoya,https://boxd.it/BYgm,drive.google.com/drive/u/7/folders/15tJRCsuhoeq8qx9sK2Dt1GRJUPE1aFvd,
Anna,Anna ot 6 do 18,1993,Nikita Mikhalkov,https://boxd.it/45zM,drive.google.com/drive/folders/1hrQEvZMMxTh030dmIXcEGqDeEdCpHgU-,
Anonymous,Anonymous,2004,Todd Verow,https://boxd.it/HSa,drive.google.com/drive/u/8/folders/1DEowH3mKVBks-CL2oc7wpqzrFkb3WxFw,
Anora,Anora,2024,Sean Baker,https://boxd.it/Egcw,drive.google.com/drive/folders/17COF_XVHFRJET5HwgklWpJfovPbfAOmv,
Antichrist,Antichrist,2009,Lars von Trier,https://boxd.it/1Inu,drive.google.com/drive/folders/1oQqBZJbQoeKU0c0nqNASAO2UWFpR9c0R,
Antiporno,Anchi Poruno,2016,Sion Sono,https://boxd.it/eDjy,drive.google.com/drive/u/1/folders/1NLvq1P29rg33MuGnNFzPR9b-SeBV2TCE,
Antiviral,Antiviral,2012,Brandon Cronenberg,https://boxd.it/475Y,drive.google.com/drive/folders/1kzqSiS1WiLldebnWuqlOcCI5aN6JzeaL,
Apartment 7A,Apartment 7A,2024,Natalie Erika James,https://boxd.it/uock,drive.google.com/drive/folders/1bWlsHtGSYX6cMINSXJmt7NihsoST7-jR,
Apple Music Live: Björk,Apple Music Live: Björk,2025,Ísold Uggadóttir,https://boxd.it/JyRW,drive.google.com/drive/folders/1P3KzYFes-chxzSy-spTkhLMZoGRgvh9W,
Arabian Nights,Il fiore delle Mille e una notte,1974,Pier Paolo Pasolini,https://boxd.it/KO6,drive.google.com/drive/folders/1YJ-MGDIZ7ARRfz6ujV5n-T5QQFx6R5J2,
As Cangaceiras Eróticas,As Cangaceiras Eróticas,1974,Roberto Mauro,https://boxd.it/d6cs,drive.google.com/drive/folders/1rfCZwFFkbz6Nh6Bnnwt1CICBzQJVqH7k,
"As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty","As I Was Moving Ahead, Occasionally I Saw Brief Glimpses of Beauty",2000,Jonas Mekas,https://boxd.it/4gcu,drive.google.com/drive/u/2/folders/19uivvwmXLqly4H34UvpRSHyo9Z0mXqr-,
Asako I & II,Netemo sametemo,2018,Ry?suke Hamaguchi,https://boxd.it/hyNk,drive.google.com/drive/folders/1835OzRz7QVhIeJnmT3klG6g_XQ_l-iP8,
Ash,Ash,2025,Flying Lotus,https://boxd.it/z5n4,drive.google.com/drive/u/1/folders/1CWsOlt2jk2_EJWrAcmDKqcrRorFi_ypb,
Ashes and Diamonds,Popió? i diament,1958,Andrzej Wajda,https://boxd.it/23q0,drive.google.com/drive/folders/1QaDuu8snuzuJof4SXLtxKLnRTHBH7ezl,
Asparagus,Asparagus,1979,Suzan Pitt,https://boxd.it/19AS,drive.google.com/drive/folders/1QZQg33uneEF_wxjzHIl9Bl11r-Ptz28N,
At Midnight I'll Take Your Soul,À Meia Noite Levarei Sua Alma,1964,José Mojica Marins,https://boxd.it/1kje,drive.google.com/drive/folders/15jy5roQuJDhUSKqXDXHZLVEAazN4cZG5,
Au Hasard Balthazar,Au Hasard Balthazar,1966,Robert Bresson,https://boxd.it/1E3g,drive.google.com/drive/folders/13wOgNlTZCyVoKczT9eneuLEKh1vvb55X,
Au Revoir les Enfants,Au Revoir les Enfants,1987,Louis Malle,https://boxd.it/288U,drive.google.com/drive/folders/19M9273_hIYY8Q6EbgmNIeP9WhnCVnOVj,
Azrael,Azrael,2024,E.L. Katz,https://boxd.it/CVaM,drive.google.com/drive/folders/1l4MXAVrs4gDc4euGCfZqZkgUN6bcS2u-,
Baby,Baby,2024,Marcelo Caetano,https://boxd.it/MABs,drive.google.com/drive/u/0/folders/1lLpyCkyMIHX9lnteDFSkzzsfy0EqWzrW,
Baby Assassins,Beibî warukyûre,2021,Yugo Sakamoto,https://boxd.it/vXei,drive.google.com/drive/folders/1hGDIPPuhkdXJpzLDu_tnYjc1d6YVBUyM,
Baby Invasion,Baby Invasion,2024,Harmony Korine,https://boxd.it/M6VC,drive.google.com/drive/u/9/folders/1Oabl60zf630HDU-ZjXUSRbRMcmNhHoY8,
Babygirl,Babygirl,2024,Halina Reijn,https://boxd.it/Fvai,drive.google.com/drive/folders/1RSQqDKCV_jRnLU0gFgIgvhIkrzMuWUTU,
Bad Boy Bubby,Bad Boy Bubby,1993,Rolf de Heer,https://boxd.it/1OHq,drive.google.com/drive/folders/1U-syong38m1qqmq24Xx7QRPVUtq1qStJ,
Bad Boys: Ride or Die,Bad Boys: Ride or Die,2024,"Adil El Arbi, Bilall Fallah",https://boxd.it/l3Ki,drive.google.com/drive/u/4/folders/1CpoJxMaGNevFOuSI8D8GQHG0xpUh6T8G,
Bad Girls Go to Hell,Bad Girls Go to Hell,1965,Doris Wishman,https://boxd.it/Wa8,drive.google.com/drive/folders/1ptsiRHuAiLaKKGMHY4-oEiHaidlQZSvI,
Bad Lieutenant,Bad Lieutenant,1992,Abel Ferrara,https://boxd.it/1Src,drive.google.com/drive/folders/1OsxEb8GoCOWrGQDOP0nlzYlZVcLkST3U,
Bananas,Bananas,1971,Woody Allen,https://boxd.it/1UbA,drive.google.com/drive/folders/1RkXAgk1aUvBzRELlINu6BCjhgnwbNzBI,
Banel & Adama,Banel e Adama,2023,Ramata-Toulaye Sy,https://boxd.it/BDlg,drive.google.com/drive/folders/140miPogfEljj1_biT-uazQuUzzfNz650,
Barefoot in the Park,Barefoot in the Park,1967,Gene Saks,https://boxd.it/1HVg,drive.google.com/drive/folders/1vppR3JbwLcI3L7ftmJSoj50WQIXgWWwS,
Bargain,Bargain,2015,Lee Chung-hyun,https://boxd.it/hMu2,drive.google.com/drive/folders/1VPN2_Nw2wwONadVRI29bRd9LkNTO3mNz,
Barren Illusion,Ôinaru gen'ei,1999,Kiyoshi Kurosawa,https://boxd.it/3xjq,drive.google.com/drive/u/1/folders/1kxRj9N8XmnWJIlNaC4_vawF_McyTXgQA,
Barton Fink,Barton Fink,1991,Joel Coen,https://boxd.it/2aFQ,drive.google.com/drive/folders/1q01jNqOdIMndk2vD8Tvg1IQjN3AGtRzl,
Batman,Batman,1966,Leslie H. Martinson,https://boxd.it/26uO,drive.google.com/drive/folders/1ugNPMN9OmR5SvmNWbOEigxEzBa442J1c,
Battleship Potemkin,Bronenosets Potyomkin,1925,Sergei Eisenstein,https://boxd.it/29Vo,drive.google.com/drive/folders/11M66nnd_n2Hqa80MGbKSBCl5SCcwPLWO,
Beaten to Death,Beaten to Death,2022,Sam Curtain,https://boxd.it/D4BM,drive.google.com/drive/folders/1GmQ8KWjPwAcdJU_QbdtFX2g9stfFZleg,
Beating Hearts,LAmour ouf,2024,Gilles Lellouche,https://boxd.it/AeF4,drive.google.com/drive/u/1/folders/1mt0j8P3xH8wnc6vmmQiOsPUOQjd6-xDU,
Beau Travail,Beau Travail,1999,Claire Denis,https://boxd.it/1NI8,drive.google.com/drive/u/6/folders/1giMN6mm4ZtuNmJ_SbVWV9oV8O34ISfz5,
Beauty and the Beast,Panna a netvor,1978,Juraj Herz,https://boxd.it/2tKA,drive.google.com/drive/u/1/folders/1Sgsb Jc_ecD6Z7Snz3R43Mh4K_CXemw,
Beauty and the Dogs,Aala Kaf Ifrit,2017,Kaouther Ben Hania,https://boxd.it/g7d8,drive.google.com/drive/folders/1VDHcMcjWJZ_0gXT5hH3bBj9Y5HR2JsQt,
Becoming Led Zeppelin,Becoming Led Zeppelin,2025,Bernard MacMahon,https://boxd.it/wobU,drive.google.com/drive/folders/1qV4A1MDn2ygmHD8-3-kQNzrBGMzvX6I5,
Bedevilled,Kim Bok-nam salinsageonui jeonmal,2010,Jang Cheol-soo,https://boxd.it/2iWK,drive.google.com/drive/folders/1bWVT2JlMrv87NLJpM5ZU_5KLMP8tgnoL,
Beetlejuice Beetlejuice,Beetlejuice Beetlejuice,2024,Tim Burton,https://boxd.it/yyGs,drive.google.com/drive/u/4/folders/1i0l9-I5dankxLdbK4siJ9BT7iu0u7wtC,
Before We Vanish,Sanposuru shinryakusha,2017,Kiyoshi Kurosawa,https://boxd.it/fSUQ,drive.google.com/drive/folders/1IHpKYag_KdYxRWqoysDivpE8PG2xIme4,
Best Wishes to All,Mina ni sachi are,2023,Yuta Shimotsu,https://boxd.it/GYHi,drive.google.com/drive/u/1/folders/15P_Uc-DLH28ZD3f9JhGBPTSWgX3iABqi,
Better Man,Better Man,2024,Michael Gracey,https://boxd.it/u6t8,drive.google.com/drive/folders/1sGc5W4JLHv68E4RNmryCK4RxRpf66tB_,
Between the Temples,Between the Temples,2024,Nathan Silver,https://boxd.it/Gy1U,drive.google.com/drive/u/3/folders/1ocN5VsZf6W5ky-ledYhJSzj3QJ2DoaX6,
Beware of a Holy Whore,Warnung vor einer heiligen Nutte,1971,Rainer Werner Fassbinder,https://boxd.it/1hgQ,drive.google.com/drive/folders/15NQMmxsIb6qbav0TxL2sysFHcm2o2Elp,
Beyond Outrage,Autoreiji: Biyondo,2012,Takeshi Kitano,https://boxd.it/41D6,drive.google.com/drive/u/6/folders/1fREmdTLkr2IowvVFiiD6EpAVDHdcv9Gl,
Bicycle Thieves,Ladri di biciclette,1948,Vittorio De Sica,https://boxd.it/23hW,drive.google.com/drive/u/4/folders/15PlJv3lgo_514jeH_rLSCrM81PKTPb6Q,
Big Wednesday,Big Wednesday,1978,John Milius,https://boxd.it/1H4w,drive.google.com/drive/folders/1SY16bwVE1u7tj5wMKSp_YTxuPnVv1cF3,
Bird,Bird,2024,Andrea Arnold,https://boxd.it/GGhm,drive.google.com/drive/u/8/folders/1K0NDAR869cSRK1k-Sk6zU3Sn_yXRmX1Q,
Birds of Passage,Pájaros de verano,2018,"Ciro Guerra, Cristina Gallego",https://boxd.it/fyVu,drive.google.com/drive/folders/1vJ9d8-cfKOtnEH1Y_55Wi4pw7XHvIwoB,
Birth,This is England,2006,Shane Meadows,,This is England,
Birth,This is England,,,,This is England,
Bitter Money,Ku Qian,2016,Wang Bing,https://boxd.it/exos,drive.google.com/drive/u/7/folders/1nerXXFgBT63yBnwYihkaOW6buR5Gii4r,
Bittersweet Rain,Saudade fez Morada aqui Dentro,2022,Haroldo Borges,https://boxd.it/CqBs,drive.google.com/drive/folders/1JygIrpGEQYqfrl38T6dKdp6KVtFSu5KM,
Black Bag,Black Bag,2025,Steven Soderbergh,https://boxd.it/KRbM,drive.google.com/drive/u/4/folders/1QQc195s3Eyi3mKui4ybpcZcZ49O4dbu8,
Black Box Diaries,Black Box Diaries,2024,Shiori It?,https://boxd.it/K5dU,drive.google.com/drive/folders/14DDpXFqFOvSn7uiwU3Kv6fFcy41OlJL-,
Black Cat Mansion,Bôrei kaibyô yashiki,1958,Nobuo Nakagawa,https://boxd.it/3rry,drive.google.com/drive/folders/1Oo2MntOtz3XOJ3zt3vsZMiW74m1vjgZv,
Black Girl,La Noire de...,1966,Ousmane Sembène,https://boxd.it/3jIQ,drive.google.com/drive/folders/1evc9nPC5rm-P7Lr-vUO56XqCcoBLbM0t,
Black Moon,Black Moon,1975,Louis Malle,https://boxd.it/1rYo,drive.google.com/drive/folders/1Ki2rBC6_0gx9IjP4PK5qI3TbREWidqIV,
Black Narcissus,Black Narcissus,1947,"Emeric Pressburger, Michael Powell",https://boxd.it/1Kce,drive.google.com/drive/folders/1cTBKKcWsFz3m15WYVoKu1YBTKpz2_9Ik,
Black Rain,Kuroi ame,1989,Sh?hei Imamura,https://boxd.it/5DMs,drive.google.com/drive/u/6/folders/1pq-rOvp-0K8BINeQ_f6ksvgg-7-KGmNG,
Blade of Fury,Zhuo dao ren,2024,Qin Pengfei,https://boxd.it/Qr7G,drive.google.com/drive/u/5/folders/1L85tsyvs1mUA8mUJfsgHYnOPaHUFfptR,
Blanche,Blanche,1971,Walerian Borowczyk,https://boxd.it/4Ui8,drive.google.com/drive/u/5/folders/1uSTQU-tVizGgvMBMRsGaqFWLNHAPNfdl,
Blink Twice,Blink Twice,2024,Zoë Kravitz,https://boxd.it/vIOg,drive.google.com/drive/folders/1B5hXa9snv8Ug85nN-j-68FSMYAnpbisp,
Blitz,Blitz,2024,Steve McQueen,https://boxd.it/xR8i,drive.google.com/drive/folders/13S3jgdEb_HgYze4kmRedAs6q0s3snQat,
Blood Simple,Blood Simple,1984,Joel Coen,https://boxd.it/1U16,drive.google.com/drive/folders/1FrmU14TOqEKV74y7B-Zy9aelEujPhlQu,
Blood for Dracula,Blood for Dracula,1974,Paul Morrissey,https://boxd.it/1uNe,drive.google.com/drive/folders/1x1JRy04FDN2jMvA6dAUBSACgnxsyds8s,
Bloodline,Bloodline,1979,Terence Young,https://boxd.it/25WC,drive.google.com/drive/folders/1xLxPS1OpWQQUCDOeQ0U-rZAUZUPzPhZ6,
